locus_tag	ftype	length_bp	gene	EC_number	COG	product
EFABNNOA_00001	CDS	534				hypothetical protein
EFABNNOA_00002	CDS	288				hypothetical protein
EFABNNOA_00003	CDS	597				hypothetical protein
EFABNNOA_00004	CDS	282				hypothetical protein
EFABNNOA_00005	CDS	228				hypothetical protein
EFABNNOA_00006	CDS	231				hypothetical protein
EFABNNOA_00007	CDS	624				hypothetical protein
EFABNNOA_00008	CDS	405				hypothetical protein
EFABNNOA_00009	CDS	279				hypothetical protein
EFABNNOA_00010	CDS	333				hypothetical protein
EFABNNOA_00011	CDS	1668				hypothetical protein
EFABNNOA_00012	CDS	195				hypothetical protein
EFABNNOA_00013	CDS	1227				hypothetical protein
