locus_tag	ftype	length_bp	gene	EC_number	COG	product
FBNFPFMN_00001	CDS	1575	dnaA_1			Chromosomal replication initiator protein DnaA
FBNFPFMN_00002	CDS	1134	dnaN			Beta sliding clamp
FBNFPFMN_00003	CDS	996				hypothetical protein
FBNFPFMN_00004	CDS	636				hypothetical protein
FBNFPFMN_00005	CDS	927				hypothetical protein
FBNFPFMN_00006	CDS	924				hypothetical protein
FBNFPFMN_00007	CDS	675	rpe	5.1.3.1		Ribulose-phosphate 3-epimerase
FBNFPFMN_00008	CDS	108				hypothetical protein
FBNFPFMN_00009	CDS	279	csoR		COG1937	Copper-sensing transcriptional repressor CsoR
FBNFPFMN_00010	CDS	624				hypothetical protein
FBNFPFMN_00011	CDS	1053				hypothetical protein
FBNFPFMN_00012	CDS	336	yajC		COG1862	Sec translocon accessory complex subunit YajC
FBNFPFMN_00013	CDS	1248	ribBA_1		COG0108	Riboflavin biosynthesis protein RibBA
FBNFPFMN_00014	CDS	165				hypothetical protein
FBNFPFMN_00015	CDS	2490				hypothetical protein
FBNFPFMN_00016	CDS	483	nusB		COG0781	Transcription antitermination protein NusB
FBNFPFMN_00017	CDS	663	pphA	3.1.3.16	COG0639	Serine/threonine-protein phosphatase 1
FBNFPFMN_00018	CDS	1095	ychF		COG0012	Ribosome-binding ATPase YchF
FBNFPFMN_00019	CDS	852				hypothetical protein
FBNFPFMN_00020	CDS	1260	lolC_1		COG4591	Lipoprotein-releasing system transmembrane protein LolC
FBNFPFMN_00021	CDS	822	yitD	4.4.1.19	COG1809	Phosphosulfolactate synthase
FBNFPFMN_00022	CDS	237	rpmB		COG0227	50S ribosomal protein L28
FBNFPFMN_00023	CDS	165	rpmG		COG0267	50S ribosomal protein L33
FBNFPFMN_00024	CDS	150				hypothetical protein
FBNFPFMN_00025	tRNA	75				tRNA-Pro(tgg)
FBNFPFMN_00026	tRNA	73				tRNA-Cys(gca)
FBNFPFMN_00027	CDS	2625				hypothetical protein
FBNFPFMN_00028	CDS	864				hypothetical protein
