locus_tag	ftype	length_bp	gene	EC_number	COG	product
KFBDFGIE_00001	CDS	1575	dnaA_1			Chromosomal replication initiator protein DnaA
KFBDFGIE_00002	CDS	1269	dnaN			Beta sliding clamp
KFBDFGIE_00003	CDS	996				hypothetical protein
KFBDFGIE_00004	CDS	636				hypothetical protein
KFBDFGIE_00005	CDS	927				hypothetical protein
KFBDFGIE_00006	CDS	924				hypothetical protein
KFBDFGIE_00007	CDS	675	rpe	5.1.3.1		Ribulose-phosphate 3-epimerase
KFBDFGIE_00008	CDS	279	csoR_1		COG1937	Copper-sensing transcriptional repressor CsoR
KFBDFGIE_00009	CDS	624				hypothetical protein
KFBDFGIE_00010	CDS	1053				hypothetical protein
KFBDFGIE_00011	CDS	336	yajC		COG1862	Sec translocon accessory complex subunit YajC
KFBDFGIE_00012	CDS	1248	ribBA_1		COG0108	Riboflavin biosynthesis protein RibBA
KFBDFGIE_00013	CDS	165				hypothetical protein
KFBDFGIE_00014	CDS	2490				hypothetical protein
KFBDFGIE_00015	CDS	483	nusB		COG0781	Transcription antitermination protein NusB
KFBDFGIE_00016	CDS	663	pphA	3.1.3.16	COG0639	Serine/threonine-protein phosphatase 1
KFBDFGIE_00017	CDS	1095	ychF		COG0012	Ribosome-binding ATPase YchF
KFBDFGIE_00018	CDS	852				hypothetical protein
KFBDFGIE_00019	CDS	1260	lolC_1		COG4591	Lipoprotein-releasing system transmembrane protein LolC
KFBDFGIE_00020	CDS	822	yitD	4.4.1.19	COG1809	Phosphosulfolactate synthase
KFBDFGIE_00021	CDS	237	rpmB		COG0227	50S ribosomal protein L28
KFBDFGIE_00022	CDS	165	rpmG		COG0267	50S ribosomal protein L33
KFBDFGIE_00023	CDS	150				hypothetical protein
KFBDFGIE_00024	tRNA	75				tRNA-Pro(tgg)
KFBDFGIE_00025	tRNA	73				tRNA-Cys(gca)
KFBDFGIE_00026	CDS	1593	dnaC	3.6.4.12	COG0305	Replicative DNA helicase
KFBDFGIE_00027	CDS	864				hypothetical protein
KFBDFGIE_00028	CDS	1242	undec1A	4.1.1.-		Cysteine/Cysteine sulfinic acid decarboxylase
KFBDFGIE_00029	CDS	294				hypothetical protein
KFBDFGIE_00030	CDS	564	gmk	2.7.4.8	COG0194	Guanylate kinase
KFBDFGIE_00031	CDS	885				hypothetical protein
KFBDFGIE_00032	tRNA	91				tRNA-Ser(gga)
KFBDFGIE_00033	CDS	570	frr		COG0233	Ribosome-recycling factor
KFBDFGIE_00034	CDS	780	pyrH	2.7.4.22	COG0528	Uridylate kinase
KFBDFGIE_00035	CDS	831	tsf		COG0264	Elongation factor Ts
KFBDFGIE_00036	CDS	948				hypothetical protein
KFBDFGIE_00037	CDS	390	rpsI			30S ribosomal protein S9
KFBDFGIE_00038	CDS	447	rplM		COG0102	50S ribosomal protein L13
KFBDFGIE_00039	CDS	504				hypothetical protein
KFBDFGIE_00040	CDS	198	rpmF			50S ribosomal protein L32
KFBDFGIE_00041	CDS	1017	plsX	2.3.1.274	COG0416	Phosphate acyltransferase
KFBDFGIE_00042	CDS	1005	fabH	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3
KFBDFGIE_00043	CDS	939	fabD	2.3.1.39		Malonyl CoA-acyl carrier protein transacylase
KFBDFGIE_00044	CDS	807				hypothetical protein
KFBDFGIE_00045	CDS	750	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
KFBDFGIE_00046	CDS	1437	crhR	3.6.4.13		RNA helicase CrhR
KFBDFGIE_00047	CDS	222				hypothetical protein
KFBDFGIE_00048	CDS	459				hypothetical protein
KFBDFGIE_00049	CDS	570				hypothetical protein
KFBDFGIE_00050	CDS	207				hypothetical protein
KFBDFGIE_00051	CDS	1068		3.4.11.-		Aminopeptidase 2
KFBDFGIE_00052	CDS	1461				hypothetical protein
KFBDFGIE_00053	tRNA	75				tRNA-Val(tac)
KFBDFGIE_00054	tRNA	74				tRNA-Gly(ccc)
KFBDFGIE_00055	CDS	165	rpmH		COG0230	50S ribosomal protein L34
KFBDFGIE_00056	CDS	447				hypothetical protein
KFBDFGIE_00057	CDS	1965	yidC			Membrane protein insertase YidC
KFBDFGIE_00058	CDS	1386	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
KFBDFGIE_00059	CDS	747				hypothetical protein
KFBDFGIE_00060	CDS	633				hypothetical protein
KFBDFGIE_00061	CDS	492				hypothetical protein
KFBDFGIE_00062	CDS	480				hypothetical protein
KFBDFGIE_00063	CDS	1995	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
KFBDFGIE_00064	CDS	648	rsmG	2.1.1.170	COG0357	Ribosomal RNA small subunit methyltransferase G
KFBDFGIE_00065	CDS	861			COG1073	putative protein
KFBDFGIE_00066	CDS	3429	mfd	3.6.4.-		Transcription-repair-coupling factor
KFBDFGIE_00067	CDS	378				hypothetical protein
KFBDFGIE_00068	CDS	243				hypothetical protein
KFBDFGIE_00069	CDS	288				hypothetical protein
KFBDFGIE_00070	CDS	927	murQ	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
KFBDFGIE_00071	CDS	2835				hypothetical protein
KFBDFGIE_00072	CDS	579				hypothetical protein
KFBDFGIE_00073	CDS	1239	recF_1		COG1195	DNA replication and repair protein RecF
KFBDFGIE_00074	CDS	1536	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
KFBDFGIE_00075	CDS	447	phaJ	4.2.1.119		(R)-specific enoyl-CoA hydratase
KFBDFGIE_00076	CDS	2550				hypothetical protein
KFBDFGIE_00077	CDS	468	xerC_1			Tyrosine recombinase XerC
KFBDFGIE_00078	CDS	240				hypothetical protein
KFBDFGIE_00079	CDS	795				hypothetical protein
KFBDFGIE_00080	CDS	780				hypothetical protein
KFBDFGIE_00081	CDS	738				hypothetical protein
KFBDFGIE_00082	CDS	393				hypothetical protein
KFBDFGIE_00083	CDS	246				hypothetical protein
KFBDFGIE_00084	CDS	2046	glgP	2.4.1.1	COG0058	Glycogen phosphorylase
KFBDFGIE_00085	CDS	2031	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
KFBDFGIE_00086	CDS	942				hypothetical protein
KFBDFGIE_00087	CDS	1434	rclA		COG1249	putative pyridine nucleotide-disulfide oxidoreductase RclA
KFBDFGIE_00088	CDS	1515	zwf	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
KFBDFGIE_00089	CDS	912		1.1.1.343	COG1023	6-phosphogluconate dehydrogenase, NAD(+)-dependent, decarboxylating
KFBDFGIE_00090	CDS	2763	tal_1	2.2.1.2		Transaldolase
KFBDFGIE_00091	CDS	729				hypothetical protein
KFBDFGIE_00092	CDS	633				hypothetical protein
KFBDFGIE_00093	CDS	648	bm3R1			HTH-type transcriptional repressor Bm3R1
KFBDFGIE_00094	CDS	2478				hypothetical protein
KFBDFGIE_00095	CDS	1101	srpA			Solvent efflux pump periplasmic linker SrpA
KFBDFGIE_00096	CDS	3051	swrC		COG0841	Swarming motility protein SwrC
KFBDFGIE_00097	CDS	2139	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
KFBDFGIE_00098	CDS	1956	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
KFBDFGIE_00099	CDS	2028		1.18.1.2		Ferredoxin--NADP reductase
KFBDFGIE_00100	CDS	264				hypothetical protein
KFBDFGIE_00101	CDS	408				hypothetical protein
KFBDFGIE_00102	CDS	990				hypothetical protein
KFBDFGIE_00103	CDS	1143				hypothetical protein
KFBDFGIE_00104	CDS	891				hypothetical protein
KFBDFGIE_00105	CDS	2874	ppc	4.1.1.31	COG2352	Phosphoenolpyruvate carboxylase
KFBDFGIE_00106	CDS	507				hypothetical protein
