locus_tag	ftype	length_bp	gene	EC_number	COG	product
NHIKOAIL_00001	CDS	1575	dnaA_1			Chromosomal replication initiator protein DnaA
NHIKOAIL_00002	CDS	1134	dnaN			Beta sliding clamp
NHIKOAIL_00003	CDS	996				hypothetical protein
NHIKOAIL_00004	CDS	636				hypothetical protein
NHIKOAIL_00005	CDS	927				hypothetical protein
NHIKOAIL_00006	CDS	924				hypothetical protein
NHIKOAIL_00007	CDS	675	rpe	5.1.3.1		Ribulose-phosphate 3-epimerase
NHIKOAIL_00008	CDS	108				hypothetical protein
NHIKOAIL_00009	CDS	279	csoR_1		COG1937	Copper-sensing transcriptional repressor CsoR
NHIKOAIL_00010	CDS	624				hypothetical protein
NHIKOAIL_00011	CDS	1053				hypothetical protein
NHIKOAIL_00012	CDS	336	yajC		COG1862	Sec translocon accessory complex subunit YajC
NHIKOAIL_00013	CDS	1248	ribBA_1		COG0108	Riboflavin biosynthesis protein RibBA
NHIKOAIL_00014	CDS	165				hypothetical protein
NHIKOAIL_00015	CDS	2490				hypothetical protein
NHIKOAIL_00016	CDS	483	nusB		COG0781	Transcription antitermination protein NusB
NHIKOAIL_00017	CDS	663	pphA	3.1.3.16	COG0639	Serine/threonine-protein phosphatase 1
NHIKOAIL_00018	CDS	1095	ychF		COG0012	Ribosome-binding ATPase YchF
NHIKOAIL_00019	CDS	852				hypothetical protein
NHIKOAIL_00020	CDS	1260	lolC_1		COG4591	Lipoprotein-releasing system transmembrane protein LolC
NHIKOAIL_00021	CDS	822	yitD	4.4.1.19	COG1809	Phosphosulfolactate synthase
NHIKOAIL_00022	CDS	237	rpmB		COG0227	50S ribosomal protein L28
NHIKOAIL_00023	CDS	165	rpmG		COG0267	50S ribosomal protein L33
NHIKOAIL_00024	CDS	150				hypothetical protein
NHIKOAIL_00025	tRNA	75				tRNA-Pro(tgg)
NHIKOAIL_00026	tRNA	73				tRNA-Cys(gca)
NHIKOAIL_00027	CDS	2625				hypothetical protein
NHIKOAIL_00028	CDS	864				hypothetical protein
NHIKOAIL_00029	CDS	1242	undec1A	4.1.1.-		Cysteine/Cysteine sulfinic acid decarboxylase
NHIKOAIL_00030	CDS	294				hypothetical protein
NHIKOAIL_00031	CDS	567	gmk	2.7.4.8	COG0194	Guanylate kinase
NHIKOAIL_00032	CDS	885				hypothetical protein
NHIKOAIL_00033	tRNA	91				tRNA-Ser(gga)
NHIKOAIL_00034	CDS	570	frr		COG0233	Ribosome-recycling factor
NHIKOAIL_00035	CDS	780	pyrH	2.7.4.22	COG0528	Uridylate kinase
NHIKOAIL_00036	CDS	831	tsf		COG0264	Elongation factor Ts
NHIKOAIL_00037	CDS	963				hypothetical protein
