locus_tag	ftype	length_bp	gene	EC_number	COG	product
BJLFMBCO_00001	CDS	1575	dnaA_1			Chromosomal replication initiator protein DnaA
BJLFMBCO_00002	CDS	1134	dnaN			Beta sliding clamp
BJLFMBCO_00003	CDS	996				hypothetical protein
BJLFMBCO_00004	CDS	636				hypothetical protein
BJLFMBCO_00005	CDS	927				hypothetical protein
BJLFMBCO_00006	CDS	924				hypothetical protein
BJLFMBCO_00007	CDS	675	rpe	5.1.3.1		Ribulose-phosphate 3-epimerase
BJLFMBCO_00008	CDS	279	csoR		COG1937	Copper-sensing transcriptional repressor CsoR
BJLFMBCO_00009	CDS	624				hypothetical protein
BJLFMBCO_00010	CDS	1053				hypothetical protein
BJLFMBCO_00011	CDS	336	yajC		COG1862	Sec translocon accessory complex subunit YajC
BJLFMBCO_00012	CDS	1248	ribBA_1		COG0108	Riboflavin biosynthesis protein RibBA
BJLFMBCO_00013	CDS	165				hypothetical protein
BJLFMBCO_00014	CDS	2490				hypothetical protein
BJLFMBCO_00015	CDS	483	nusB		COG0781	Transcription antitermination protein NusB
BJLFMBCO_00016	CDS	663	pphA	3.1.3.16	COG0639	Serine/threonine-protein phosphatase 1
BJLFMBCO_00017	CDS	1095	ychF		COG0012	Ribosome-binding ATPase YchF
BJLFMBCO_00018	CDS	852				hypothetical protein
BJLFMBCO_00019	CDS	1260	lolC_1		COG4591	Lipoprotein-releasing system transmembrane protein LolC
BJLFMBCO_00020	CDS	822	yitD	4.4.1.19	COG1809	Phosphosulfolactate synthase
BJLFMBCO_00021	CDS	237	rpmB		COG0227	50S ribosomal protein L28
BJLFMBCO_00022	CDS	165	rpmG		COG0267	50S ribosomal protein L33
BJLFMBCO_00023	CDS	150				hypothetical protein
BJLFMBCO_00024	tRNA	75				tRNA-Pro(tgg)
BJLFMBCO_00025	tRNA	73				tRNA-Cys(gca)
BJLFMBCO_00026	CDS	1593	dnaC	3.6.4.12	COG0305	Replicative DNA helicase
BJLFMBCO_00027	CDS	864				hypothetical protein
BJLFMBCO_00028	CDS	1251	undec1A	4.1.1.-		Cysteine/Cysteine sulfinic acid decarboxylase
BJLFMBCO_00029	CDS	294				hypothetical protein
BJLFMBCO_00030	CDS	567	gmk	2.7.4.8	COG0194	Guanylate kinase
BJLFMBCO_00031	CDS	885				hypothetical protein
BJLFMBCO_00032	tRNA	91				tRNA-Ser(gga)
BJLFMBCO_00033	CDS	570	frr		COG0233	Ribosome-recycling factor
BJLFMBCO_00034	CDS	780	pyrH	2.7.4.22	COG0528	Uridylate kinase
BJLFMBCO_00035	CDS	831	tsf		COG0264	Elongation factor Ts
BJLFMBCO_00036	CDS	963				hypothetical protein
BJLFMBCO_00037	CDS	390	rpsI			30S ribosomal protein S9
BJLFMBCO_00038	CDS	447	rplM		COG0102	50S ribosomal protein L13
BJLFMBCO_00039	CDS	504				hypothetical protein
BJLFMBCO_00040	CDS	198	rpmF			50S ribosomal protein L32
BJLFMBCO_00041	CDS	1017	plsX	2.3.1.274	COG0416	Phosphate acyltransferase
BJLFMBCO_00042	CDS	1005	fabH	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3
BJLFMBCO_00043	CDS	939	fabD	2.3.1.39		Malonyl CoA-acyl carrier protein transacylase
BJLFMBCO_00044	CDS	807				hypothetical protein
BJLFMBCO_00045	CDS	750	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
BJLFMBCO_00046	CDS	1437	crhR	3.6.4.13		RNA helicase CrhR
BJLFMBCO_00047	CDS	222				hypothetical protein
BJLFMBCO_00048	CDS	459				hypothetical protein
BJLFMBCO_00049	CDS	570				hypothetical protein
BJLFMBCO_00050	CDS	207				hypothetical protein
BJLFMBCO_00051	CDS	1068		3.4.11.-		Aminopeptidase 2
BJLFMBCO_00052	CDS	1461				hypothetical protein
BJLFMBCO_00053	tRNA	75				tRNA-Val(tac)
BJLFMBCO_00054	tRNA	74				tRNA-Gly(ccc)
BJLFMBCO_00055	CDS	165	rpmH		COG0230	50S ribosomal protein L34
BJLFMBCO_00056	CDS	447				hypothetical protein
BJLFMBCO_00057	CDS	1965	yidC			Membrane protein insertase YidC
BJLFMBCO_00058	CDS	1386	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
BJLFMBCO_00059	CDS	747				hypothetical protein
BJLFMBCO_00060	CDS	780				hypothetical protein
BJLFMBCO_00061	CDS	492				hypothetical protein
BJLFMBCO_00062	CDS	468				hypothetical protein
BJLFMBCO_00063	CDS	1995	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
BJLFMBCO_00064	CDS	648	rsmG	2.1.1.170	COG0357	Ribosomal RNA small subunit methyltransferase G
BJLFMBCO_00065	CDS	861			COG1073	putative protein
BJLFMBCO_00066	CDS	165				hypothetical protein
BJLFMBCO_00067	CDS	3429	mfd	3.6.4.-		Transcription-repair-coupling factor
BJLFMBCO_00068	CDS	384				hypothetical protein
BJLFMBCO_00069	CDS	336				hypothetical protein
BJLFMBCO_00070	CDS	360				hypothetical protein
BJLFMBCO_00071	CDS	927	murQ	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
BJLFMBCO_00072	CDS	2817				hypothetical protein
BJLFMBCO_00073	CDS	579				hypothetical protein
BJLFMBCO_00074	CDS	1239	recF		COG1195	DNA replication and repair protein RecF
