locus_tag	ftype	length_bp	gene	EC_number	COG	product
DFALBHKG_00001	CDS	1575	dnaA_1			Chromosomal replication initiator protein DnaA
DFALBHKG_00002	CDS	1134	dnaN			Beta sliding clamp
DFALBHKG_00003	CDS	996				hypothetical protein
DFALBHKG_00004	CDS	636				hypothetical protein
DFALBHKG_00005	CDS	927				hypothetical protein
DFALBHKG_00006	CDS	924				hypothetical protein
DFALBHKG_00007	CDS	675	rpe	5.1.3.1		Ribulose-phosphate 3-epimerase
DFALBHKG_00008	CDS	279	csoR		COG1937	Copper-sensing transcriptional repressor CsoR
DFALBHKG_00009	CDS	624				hypothetical protein
DFALBHKG_00010	CDS	933				hypothetical protein
DFALBHKG_00011	CDS	336	yajC		COG1862	Sec translocon accessory complex subunit YajC
DFALBHKG_00012	CDS	1248	ribBA_1		COG0108	Riboflavin biosynthesis protein RibBA
DFALBHKG_00013	CDS	165				hypothetical protein
DFALBHKG_00014	CDS	1650	comEC		COG0658	ComE operon protein 3
DFALBHKG_00015	CDS	687				hypothetical protein
DFALBHKG_00016	CDS	483	nusB		COG0781	Transcription antitermination protein NusB
DFALBHKG_00017	CDS	663	pphA	3.1.3.16	COG0639	Serine/threonine-protein phosphatase 1
DFALBHKG_00018	CDS	1095	ychF		COG0012	Ribosome-binding ATPase YchF
DFALBHKG_00019	CDS	852				hypothetical protein
DFALBHKG_00020	CDS	1260	lolC_1		COG4591	Lipoprotein-releasing system transmembrane protein LolC
DFALBHKG_00021	CDS	822	yitD	4.4.1.19	COG1809	Phosphosulfolactate synthase
DFALBHKG_00022	CDS	237	rpmB		COG0227	50S ribosomal protein L28
DFALBHKG_00023	CDS	165	rpmG		COG0267	50S ribosomal protein L33
DFALBHKG_00024	CDS	150				hypothetical protein
DFALBHKG_00025	tRNA	75				tRNA-Pro(tgg)
DFALBHKG_00026	tRNA	73				tRNA-Cys(gca)
DFALBHKG_00027	CDS	1593	dnaC	3.6.4.12	COG0305	Replicative DNA helicase
DFALBHKG_00028	CDS	864				hypothetical protein
DFALBHKG_00029	CDS	1242	undec1A	4.1.1.-		Cysteine/Cysteine sulfinic acid decarboxylase
DFALBHKG_00030	CDS	294				hypothetical protein
DFALBHKG_00031	CDS	567	gmk	2.7.4.8	COG0194	Guanylate kinase
DFALBHKG_00032	CDS	885				hypothetical protein
DFALBHKG_00033	tRNA	91				tRNA-Ser(gga)
DFALBHKG_00034	CDS	570	frr		COG0233	Ribosome-recycling factor
DFALBHKG_00035	CDS	780	pyrH	2.7.4.22	COG0528	Uridylate kinase
DFALBHKG_00036	CDS	831	tsf		COG0264	Elongation factor Ts
DFALBHKG_00037	CDS	963				hypothetical protein
DFALBHKG_00038	CDS	390	rpsI			30S ribosomal protein S9
