locus_tag	ftype	length_bp	gene	EC_number	COG	product
CPHOJEGO_00001	CDS	165				hypothetical protein
CPHOJEGO_00002	CDS	309				hypothetical protein
CPHOJEGO_00003	CDS	2151	dnaG	2.7.7.-		DNA primase
CPHOJEGO_00004	CDS	555				hypothetical protein
CPHOJEGO_00005	CDS	831				hypothetical protein
CPHOJEGO_00006	CDS	696				hypothetical protein
CPHOJEGO_00007	CDS	786				hypothetical protein
CPHOJEGO_00008	CDS	678				hypothetical protein
CPHOJEGO_00009	CDS	372				hypothetical protein
CPHOJEGO_00010	CDS	1887				hypothetical protein
CPHOJEGO_00011	CDS	285				hypothetical protein
CPHOJEGO_00012	CDS	657				hypothetical protein
CPHOJEGO_00013	CDS	252				hypothetical protein
CPHOJEGO_00014	CDS	231				hypothetical protein
