locus_tag	ftype	length_bp	gene	EC_number	COG	product
ILAIMGLD_00001	CDS	234				hypothetical protein
ILAIMGLD_00002	CDS	393				hypothetical protein
ILAIMGLD_00003	CDS	372				hypothetical protein
ILAIMGLD_00004	CDS	426				hypothetical protein
ILAIMGLD_00005	CDS	1410				hypothetical protein
ILAIMGLD_00006	CDS	408				hypothetical protein
ILAIMGLD_00007	CDS	1032				hypothetical protein
ILAIMGLD_00008	CDS	1593				hypothetical protein
ILAIMGLD_00009	CDS	156				hypothetical protein
ILAIMGLD_00010	CDS	390				hypothetical protein
ILAIMGLD_00011	CDS	516				hypothetical protein
ILAIMGLD_00012	CDS	438				hypothetical protein
ILAIMGLD_00013	CDS	552				hypothetical protein
ILAIMGLD_00014	CDS	174				hypothetical protein
ILAIMGLD_00015	CDS	255				hypothetical protein
ILAIMGLD_00016	CDS	624				hypothetical protein
ILAIMGLD_00017	CDS	213				hypothetical protein
ILAIMGLD_00018	CDS	285				hypothetical protein
ILAIMGLD_00019	CDS	174				hypothetical protein
ILAIMGLD_00020	CDS	675				hypothetical protein
ILAIMGLD_00021	CDS	1158				hypothetical protein
ILAIMGLD_00022	CDS	534				hypothetical protein
ILAIMGLD_00023	CDS	2259				hypothetical protein
ILAIMGLD_00024	CDS	288				hypothetical protein
ILAIMGLD_00025	CDS	648				hypothetical protein
ILAIMGLD_00026	CDS	249				hypothetical protein
ILAIMGLD_00027	CDS	387				hypothetical protein
ILAIMGLD_00028	CDS	534				hypothetical protein
ILAIMGLD_00029	CDS	315				hypothetical protein
ILAIMGLD_00030	CDS	927				hypothetical protein
ILAIMGLD_00031	CDS	204				hypothetical protein
ILAIMGLD_00032	CDS	1182	dinB	2.7.7.7	COG0389	DNA polymerase IV
ILAIMGLD_00033	CDS	111				hypothetical protein
ILAIMGLD_00034	CDS	690				hypothetical protein
ILAIMGLD_00035	CDS	279				hypothetical protein
ILAIMGLD_00036	CDS	831				hypothetical protein
ILAIMGLD_00037	CDS	1392				hypothetical protein
ILAIMGLD_00038	CDS	648				hypothetical protein
ILAIMGLD_00039	CDS	612				hypothetical protein
ILAIMGLD_00040	CDS	678				hypothetical protein
ILAIMGLD_00041	CDS	441				hypothetical protein
ILAIMGLD_00042	CDS	1368				hypothetical protein
ILAIMGLD_00043	CDS	1131				hypothetical protein
ILAIMGLD_00044	CDS	819				hypothetical protein
ILAIMGLD_00045	CDS	525				hypothetical protein
ILAIMGLD_00046	CDS	675				hypothetical protein
ILAIMGLD_00047	CDS	144				hypothetical protein
ILAIMGLD_00048	CDS	291				hypothetical protein
ILAIMGLD_00049	CDS	762				hypothetical protein
ILAIMGLD_00050	CDS	3189	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
ILAIMGLD_00051	CDS	615				hypothetical protein
ILAIMGLD_00052	CDS	4863	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
ILAIMGLD_00053	CDS	120				hypothetical protein
ILAIMGLD_00054	CDS	336				hypothetical protein
ILAIMGLD_00055	CDS	300				hypothetical protein
ILAIMGLD_00056	CDS	684	xerC			Tyrosine recombinase XerC
ILAIMGLD_00057	CDS	1881	lnt	2.3.1.269		Apolipoprotein N-acyltransferase
ILAIMGLD_00058	CDS	1137				hypothetical protein
ILAIMGLD_00059	CDS	768	btsR		COG3279	Transcriptional regulatory protein BtsR
ILAIMGLD_00060	CDS	279				hypothetical protein
ILAIMGLD_00061	CDS	285				hypothetical protein
ILAIMGLD_00062	CDS	372				hypothetical protein
ILAIMGLD_00063	CDS	267				hypothetical protein
ILAIMGLD_00064	CDS	279				hypothetical protein
ILAIMGLD_00065	CDS	270				hypothetical protein
ILAIMGLD_00066	CDS	99				hypothetical protein
