locus_tag	ftype	length_bp	gene	EC_number	COG	product
IHHOHBLL_00001	CDS	417				hypothetical protein
IHHOHBLL_00002	CDS	879				hypothetical protein
IHHOHBLL_00003	CDS	207				hypothetical protein
IHHOHBLL_00004	CDS	99				hypothetical protein
IHHOHBLL_00005	CDS	537				hypothetical protein
IHHOHBLL_00006	CDS	198				hypothetical protein
IHHOHBLL_00007	CDS	285				hypothetical protein
IHHOHBLL_00008	CDS	294				hypothetical protein
IHHOHBLL_00009	CDS	270				hypothetical protein
IHHOHBLL_00010	CDS	618				hypothetical protein
IHHOHBLL_00011	CDS	756				hypothetical protein
IHHOHBLL_00012	CDS	246				hypothetical protein
IHHOHBLL_00013	CDS	237				hypothetical protein
IHHOHBLL_00014	CDS	210				hypothetical protein
IHHOHBLL_00015	CDS	1032	xerC			Tyrosine recombinase XerC
IHHOHBLL_00016	CDS	705				hypothetical protein
IHHOHBLL_00017	CDS	165				hypothetical protein
IHHOHBLL_00018	CDS	348				hypothetical protein
IHHOHBLL_00019	CDS	567				hypothetical protein
IHHOHBLL_00020	CDS	201				hypothetical protein
IHHOHBLL_00021	CDS	675				hypothetical protein
IHHOHBLL_00022	CDS	456				hypothetical protein
