locus_tag	ftype	length_bp	gene	EC_number	COG	product
GNNGOPDE_00001	CDS	1575	dnaA_1		COG0593	Chromosomal replication initiator protein DnaA
GNNGOPDE_00002	CDS	1134	dnaN			Beta sliding clamp
GNNGOPDE_00003	CDS	996				hypothetical protein
GNNGOPDE_00004	CDS	636				hypothetical protein
GNNGOPDE_00005	CDS	927				hypothetical protein
GNNGOPDE_00006	CDS	924				hypothetical protein
GNNGOPDE_00007	CDS	675	rpe	5.1.3.1		Ribulose-phosphate 3-epimerase
GNNGOPDE_00008	CDS	279	csoR_1		COG1937	Copper-sensing transcriptional repressor CsoR
GNNGOPDE_00009	CDS	624				hypothetical protein
GNNGOPDE_00010	CDS	1053				hypothetical protein
GNNGOPDE_00011	CDS	336	yajC		COG1862	Sec translocon accessory complex subunit YajC
GNNGOPDE_00012	CDS	1248	ribBA_1		COG0108	Riboflavin biosynthesis protein RibBA
GNNGOPDE_00013	CDS	165				hypothetical protein
GNNGOPDE_00014	CDS	2418				hypothetical protein
GNNGOPDE_00015	CDS	483	nusB		COG0781	Transcription antitermination protein NusB
GNNGOPDE_00016	CDS	663	pphA	3.1.3.16	COG0639	Serine/threonine-protein phosphatase 1
GNNGOPDE_00017	CDS	1095	ychF		COG0012	Ribosome-binding ATPase YchF
GNNGOPDE_00018	CDS	852				hypothetical protein
GNNGOPDE_00019	CDS	1260	lolC_1		COG4591	Lipoprotein-releasing system transmembrane protein LolC
GNNGOPDE_00020	CDS	822	yitD	4.4.1.19	COG1809	Phosphosulfolactate synthase
GNNGOPDE_00021	CDS	237	rpmB		COG0227	50S ribosomal protein L28
GNNGOPDE_00022	CDS	165	rpmG		COG0267	50S ribosomal protein L33
GNNGOPDE_00023	CDS	150				hypothetical protein
GNNGOPDE_00024	tRNA	75				tRNA-Pro(tgg)
GNNGOPDE_00025	tRNA	73				tRNA-Cys(gca)
GNNGOPDE_00026	CDS	2619				hypothetical protein
GNNGOPDE_00027	CDS	864				hypothetical protein
GNNGOPDE_00028	CDS	1242	undec1A	4.1.1.-		Cysteine/Cysteine sulfinic acid decarboxylase
GNNGOPDE_00029	CDS	294				hypothetical protein
GNNGOPDE_00030	CDS	567	gmk	2.7.4.8	COG0194	Guanylate kinase
GNNGOPDE_00031	CDS	885				hypothetical protein
GNNGOPDE_00032	tRNA	91				tRNA-Ser(gga)
GNNGOPDE_00033	CDS	570	frr		COG0233	Ribosome-recycling factor
GNNGOPDE_00034	CDS	780	pyrH	2.7.4.22	COG0528	Uridylate kinase
GNNGOPDE_00035	CDS	831	tsf		COG0264	Elongation factor Ts
GNNGOPDE_00036	CDS	963				hypothetical protein
GNNGOPDE_00037	CDS	390	rpsI			30S ribosomal protein S9
GNNGOPDE_00038	CDS	447	rplM		COG0102	50S ribosomal protein L13
GNNGOPDE_00039	CDS	504				hypothetical protein
GNNGOPDE_00040	CDS	198	rpmF			50S ribosomal protein L32
GNNGOPDE_00041	CDS	1017	plsX	2.3.1.274	COG0416	Phosphate acyltransferase
GNNGOPDE_00042	CDS	1005	fabH	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3
GNNGOPDE_00043	CDS	939	fabD	2.3.1.39		Malonyl CoA-acyl carrier protein transacylase
GNNGOPDE_00044	CDS	807				hypothetical protein
GNNGOPDE_00045	CDS	750	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
GNNGOPDE_00046	CDS	1437	crhR	3.6.4.13		RNA helicase CrhR
GNNGOPDE_00047	CDS	222				hypothetical protein
GNNGOPDE_00048	CDS	459				hypothetical protein
GNNGOPDE_00049	CDS	570				hypothetical protein
GNNGOPDE_00050	CDS	207				hypothetical protein
GNNGOPDE_00051	CDS	1068		3.4.11.-		Aminopeptidase 2
GNNGOPDE_00052	CDS	1461				hypothetical protein
GNNGOPDE_00053	tRNA	75				tRNA-Val(tac)
GNNGOPDE_00054	tRNA	74				tRNA-Gly(ccc)
GNNGOPDE_00055	CDS	165	rpmH		COG0230	50S ribosomal protein L34
GNNGOPDE_00056	CDS	447				hypothetical protein
GNNGOPDE_00057	CDS	1965	yidC			Membrane protein insertase YidC
GNNGOPDE_00058	CDS	1386	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
GNNGOPDE_00059	CDS	747				hypothetical protein
GNNGOPDE_00060	CDS	633				hypothetical protein
GNNGOPDE_00061	CDS	255				hypothetical protein
GNNGOPDE_00062	CDS	480				hypothetical protein
GNNGOPDE_00063	CDS	1995	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
GNNGOPDE_00064	CDS	648	rsmG	2.1.1.170	COG0357	Ribosomal RNA small subunit methyltransferase G
GNNGOPDE_00065	CDS	861			COG1073	putative protein
GNNGOPDE_00066	CDS	3429	mfd	3.6.4.-		Transcription-repair-coupling factor
GNNGOPDE_00067	CDS	357				hypothetical protein
GNNGOPDE_00068	CDS	336				hypothetical protein
GNNGOPDE_00069	CDS	360				hypothetical protein
GNNGOPDE_00070	CDS	927	murQ	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
GNNGOPDE_00071	CDS	2817				hypothetical protein
GNNGOPDE_00072	CDS	579				hypothetical protein
GNNGOPDE_00073	CDS	1239	recF_1		COG1195	DNA replication and repair protein RecF
GNNGOPDE_00074	CDS	1536	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
GNNGOPDE_00075	CDS	447	phaJ	4.2.1.119		(R)-specific enoyl-CoA hydratase
GNNGOPDE_00076	CDS	2550				hypothetical protein
GNNGOPDE_00077	CDS	786	xerD_1			Tyrosine recombinase XerD
GNNGOPDE_00078	CDS	186				hypothetical protein
GNNGOPDE_00079	CDS	786	xerD_2			Tyrosine recombinase XerD
GNNGOPDE_00080	CDS	483				IS630 family transposase ISMae27
GNNGOPDE_00081	CDS	471				hypothetical protein
GNNGOPDE_00082	CDS	186				hypothetical protein
GNNGOPDE_00083	CDS	741				hypothetical protein
GNNGOPDE_00084	CDS	393				hypothetical protein
GNNGOPDE_00085	CDS	339				hypothetical protein
GNNGOPDE_00086	CDS	747				hypothetical protein
GNNGOPDE_00087	CDS	246				hypothetical protein
GNNGOPDE_00088	CDS	2046	glgP	2.4.1.1	COG0058	Glycogen phosphorylase
GNNGOPDE_00089	CDS	2031	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
GNNGOPDE_00090	CDS	891				hypothetical protein
GNNGOPDE_00091	CDS	1434	rclA		COG1249	putative pyridine nucleotide-disulfide oxidoreductase RclA
GNNGOPDE_00092	CDS	1515	zwf	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
GNNGOPDE_00093	CDS	912		1.1.1.343	COG1023	6-phosphogluconate dehydrogenase, NAD(+)-dependent, decarboxylating
GNNGOPDE_00094	CDS	2763	tal_1	2.2.1.2		Transaldolase
GNNGOPDE_00095	CDS	729				hypothetical protein
GNNGOPDE_00096	CDS	633				hypothetical protein
GNNGOPDE_00097	CDS	648	bm3R1			HTH-type transcriptional repressor Bm3R1
GNNGOPDE_00098	CDS	2478				hypothetical protein
GNNGOPDE_00099	CDS	1101	mdtA_1			Multidrug resistance protein MdtA
GNNGOPDE_00100	CDS	3051	swrC_1		COG0841	Swarming motility protein SwrC
GNNGOPDE_00101	CDS	2139	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
GNNGOPDE_00102	CDS	1956	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
GNNGOPDE_00103	CDS	2304		1.18.1.2		Ferredoxin--NADP reductase
GNNGOPDE_00104	CDS	1533				hypothetical protein
GNNGOPDE_00105	CDS	1170				hypothetical protein
GNNGOPDE_00106	CDS	162				hypothetical protein
GNNGOPDE_00107	CDS	2874	ppc	4.1.1.31	COG2352	Phosphoenolpyruvate carboxylase
GNNGOPDE_00108	CDS	507				hypothetical protein
GNNGOPDE_00109	CDS	3321	rcsC_3	2.7.13.3		Sensor histidine kinase RcsC
GNNGOPDE_00110	CDS	2718	btuB_1			Vitamin B12 transporter BtuB
GNNGOPDE_00111	CDS	1446				hypothetical protein
GNNGOPDE_00112	CDS	1533				hypothetical protein
GNNGOPDE_00113	CDS	402				hypothetical protein
GNNGOPDE_00114	CDS	1131				hypothetical protein
GNNGOPDE_00115	CDS	918				hypothetical protein
GNNGOPDE_00116	CDS	609	lemA		COG1704	Protein LemA
GNNGOPDE_00117	CDS	822				hypothetical protein
GNNGOPDE_00118	CDS	330				hypothetical protein
GNNGOPDE_00119	CDS	1074	rlpA_1	4.2.2.-		Endolytic peptidoglycan transglycosylase RlpA
GNNGOPDE_00120	CDS	717				hypothetical protein
GNNGOPDE_00121	CDS	831	htpX_1	3.4.24.-	COG0501	Protease HtpX 
GNNGOPDE_00122	CDS	891				hypothetical protein
GNNGOPDE_00123	CDS	2475	cadA_1	3.6.3.3		Cadmium-transporting ATPase
GNNGOPDE_00124	CDS	4122	rcsC_4	2.7.13.3		Sensor histidine kinase RcsC
GNNGOPDE_00125	CDS	765	rhaS_1			HTH-type transcriptional activator RhaS
GNNGOPDE_00126	CDS	969				hypothetical protein
GNNGOPDE_00127	CDS	642				hypothetical protein
GNNGOPDE_00128	CDS	600				hypothetical protein
GNNGOPDE_00129	CDS	501				hypothetical protein
GNNGOPDE_00130	CDS	462				hypothetical protein
GNNGOPDE_00131	CDS	828				hypothetical protein
GNNGOPDE_00132	CDS	1476				hypothetical protein
GNNGOPDE_00133	CDS	378	smtB_1		COG0640	Transcriptional repressor SmtB
GNNGOPDE_00134	CDS	1620	apc4	6.4.1.8	COG0146	Acetophenone carboxylase delta subunit
GNNGOPDE_00135	CDS	186				hypothetical protein
GNNGOPDE_00136	CDS	2658				hypothetical protein
GNNGOPDE_00137	CDS	264				hypothetical protein
GNNGOPDE_00138	CDS	315				hypothetical protein
GNNGOPDE_00139	CDS	1344	mmgC	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
GNNGOPDE_00140	CDS	2595				hypothetical protein
GNNGOPDE_00141	CDS	732				hypothetical protein
GNNGOPDE_00142	CDS	651				hypothetical protein
GNNGOPDE_00143	CDS	873				hypothetical protein
GNNGOPDE_00144	CDS	570				hypothetical protein
GNNGOPDE_00145	CDS	474				hypothetical protein
GNNGOPDE_00146	CDS	216				hypothetical protein
GNNGOPDE_00147	CDS	543				hypothetical protein
GNNGOPDE_00148	CDS	204				hypothetical protein
GNNGOPDE_00149	CDS	345				hypothetical protein
GNNGOPDE_00150	CDS	5823				hypothetical protein
GNNGOPDE_00151	CDS	435				hypothetical protein
GNNGOPDE_00152	CDS	249				hypothetical protein
GNNGOPDE_00153	CDS	834				hypothetical protein
GNNGOPDE_00154	CDS	414				hypothetical protein
GNNGOPDE_00155	CDS	1176				hypothetical protein
GNNGOPDE_00156	CDS	759				hypothetical protein
GNNGOPDE_00157	CDS	1401		1.13.11.75		Apocarotenoid-15,15'-oxygenase
GNNGOPDE_00158	CDS	717				hypothetical protein
GNNGOPDE_00159	CDS	219				hypothetical protein
GNNGOPDE_00160	CDS	1356	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
GNNGOPDE_00161	CDS	801				hypothetical protein
GNNGOPDE_00162	CDS	975	nrdB	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase subunit beta
GNNGOPDE_00163	CDS	1683	nrdZ	1.17.4.1		Vitamin B12-dependent ribonucleoside-diphosphate reductase
GNNGOPDE_00164	CDS	447				hypothetical protein
GNNGOPDE_00165	CDS	1164	yycB		COG2807	putative transporter YycB
GNNGOPDE_00166	CDS	1704				hypothetical protein
GNNGOPDE_00167	CDS	522				hypothetical protein
GNNGOPDE_00168	CDS	138				hypothetical protein
GNNGOPDE_00169	CDS	588	hmp_1	1.14.15.30	COG1018	3-ketosteroid-9-alpha-monooxygenase, ferredoxin reductase component
GNNGOPDE_00170	CDS	639				hypothetical protein
GNNGOPDE_00171	CDS	471				hypothetical protein
GNNGOPDE_00172	CDS	246				hypothetical protein
GNNGOPDE_00173	CDS	816				hypothetical protein
GNNGOPDE_00174	CDS	1044				hypothetical protein
GNNGOPDE_00175	CDS	1593				hypothetical protein
GNNGOPDE_00176	CDS	480				hypothetical protein
GNNGOPDE_00177	CDS	969				hypothetical protein
GNNGOPDE_00178	CDS	2175	sasA_3	2.7.-.-		Adaptive-response sensory-kinase SasA
GNNGOPDE_00179	CDS	5007	rcsC_5	2.7.13.3		Sensor histidine kinase RcsC
GNNGOPDE_00180	CDS	210				hypothetical protein
GNNGOPDE_00181	CDS	234				hypothetical protein
GNNGOPDE_00182	CDS	1620				hypothetical protein
GNNGOPDE_00183	CDS	879	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
GNNGOPDE_00184	CDS	855				hypothetical protein
GNNGOPDE_00185	CDS	474				hypothetical protein
GNNGOPDE_00186	CDS	963	mmuM	2.1.1.10	COG2040	Homocysteine S-methyltransferase
GNNGOPDE_00187	CDS	435				hypothetical protein
GNNGOPDE_00188	CDS	1284				hypothetical protein
GNNGOPDE_00189	CDS	684				hypothetical protein
GNNGOPDE_00190	CDS	639				hypothetical protein
GNNGOPDE_00191	CDS	255				hypothetical protein
GNNGOPDE_00192	CDS	993				hypothetical protein
GNNGOPDE_00193	CDS	579	resA_1			Thiol-disulfide oxidoreductase ResA
GNNGOPDE_00194	CDS	639				hypothetical protein
GNNGOPDE_00195	CDS	1599				hypothetical protein
GNNGOPDE_00196	CDS	1836				hypothetical protein
GNNGOPDE_00197	CDS	318				hypothetical protein
GNNGOPDE_00198	CDS	615				hypothetical protein
GNNGOPDE_00199	CDS	210				hypothetical protein
GNNGOPDE_00200	CDS	375				hypothetical protein
GNNGOPDE_00201	CDS	582				hypothetical protein
GNNGOPDE_00202	CDS	564				hypothetical protein
GNNGOPDE_00203	CDS	912				hypothetical protein
GNNGOPDE_00204	CDS	972				hypothetical protein
GNNGOPDE_00205	CDS	2310	btuB_2			Vitamin B12 transporter BtuB
GNNGOPDE_00206	CDS	1032				hypothetical protein
GNNGOPDE_00207	CDS	1953	rcsC_6	2.7.13.3		Sensor histidine kinase RcsC
GNNGOPDE_00208	CDS	651				hypothetical protein
GNNGOPDE_00209	CDS	138				hypothetical protein
GNNGOPDE_00210	CDS	897	yxlF	3.6.3.-	COG1131	putative ABC transporter ATP-binding protein YxlF
GNNGOPDE_00211	CDS	3831				hypothetical protein
GNNGOPDE_00212	CDS	2850				hypothetical protein
GNNGOPDE_00213	CDS	1107				hypothetical protein
GNNGOPDE_00214	CDS	585	algU_1		COG1595	RNA polymerase sigma-H factor
GNNGOPDE_00215	CDS	2040	apc3	6.4.1.8	COG0145	Acetophenone carboxylase gamma subunit
GNNGOPDE_00216	CDS	240				hypothetical protein
GNNGOPDE_00217	CDS	279				hypothetical protein
GNNGOPDE_00218	CDS	240				hypothetical protein
GNNGOPDE_00219	CDS	1032				hypothetical protein
GNNGOPDE_00220	CDS	474				hypothetical protein
GNNGOPDE_00221	CDS	429				hypothetical protein
GNNGOPDE_00222	CDS	549				hypothetical protein
GNNGOPDE_00223	CDS	837	btsR_1		COG3279	Transcriptional regulatory protein BtsR
GNNGOPDE_00224	CDS	807				hypothetical protein
GNNGOPDE_00225	CDS	120				hypothetical protein
GNNGOPDE_00226	CDS	534				hypothetical protein
GNNGOPDE_00227	CDS	1218				hypothetical protein
GNNGOPDE_00228	CDS	399				hypothetical protein
GNNGOPDE_00229	CDS	2493				hypothetical protein
