locus_tag	ftype	length_bp	gene	EC_number	COG	product
MENLLFMI_00001	CDS	1575	dnaA_1			Chromosomal replication initiator protein DnaA
MENLLFMI_00002	CDS	1134	dnaN			Beta sliding clamp
MENLLFMI_00003	CDS	996				hypothetical protein
MENLLFMI_00004	CDS	636				hypothetical protein
MENLLFMI_00005	CDS	927				hypothetical protein
MENLLFMI_00006	CDS	924				hypothetical protein
MENLLFMI_00007	CDS	675	rpe	5.1.3.1		Ribulose-phosphate 3-epimerase
MENLLFMI_00008	CDS	279	csoR		COG1937	Copper-sensing transcriptional repressor CsoR
MENLLFMI_00009	CDS	624				hypothetical protein
MENLLFMI_00010	CDS	1053				hypothetical protein
MENLLFMI_00011	CDS	336	yajC		COG1862	Sec translocon accessory complex subunit YajC
MENLLFMI_00012	CDS	1248	ribBA_1		COG0108	Riboflavin biosynthesis protein RibBA
MENLLFMI_00013	CDS	165				hypothetical protein
MENLLFMI_00014	CDS	2463				hypothetical protein
MENLLFMI_00015	CDS	483	nusB		COG0781	Transcription antitermination protein NusB
MENLLFMI_00016	CDS	663	pphA	3.1.3.16	COG0639	Serine/threonine-protein phosphatase 1
MENLLFMI_00017	CDS	1095	ychF		COG0012	Ribosome-binding ATPase YchF
MENLLFMI_00018	CDS	852				hypothetical protein
MENLLFMI_00019	CDS	1260	lolC_1		COG4591	Lipoprotein-releasing system transmembrane protein LolC
MENLLFMI_00020	CDS	822	yitD	4.4.1.19	COG1809	Phosphosulfolactate synthase
MENLLFMI_00021	CDS	237	rpmB		COG0227	50S ribosomal protein L28
MENLLFMI_00022	CDS	165	rpmG		COG0267	50S ribosomal protein L33
MENLLFMI_00023	CDS	150				hypothetical protein
MENLLFMI_00024	tRNA	75				tRNA-Pro(tgg)
MENLLFMI_00025	tRNA	73				tRNA-Cys(gca)
MENLLFMI_00026	CDS	2625				hypothetical protein
MENLLFMI_00027	CDS	864				hypothetical protein
MENLLFMI_00028	CDS	1242	undec1A	4.1.1.-		Cysteine/Cysteine sulfinic acid decarboxylase
MENLLFMI_00029	CDS	294				hypothetical protein
MENLLFMI_00030	CDS	567	gmk	2.7.4.8	COG0194	Guanylate kinase
MENLLFMI_00031	CDS	885				hypothetical protein
MENLLFMI_00032	tRNA	91				tRNA-Ser(gga)
MENLLFMI_00033	CDS	570	frr		COG0233	Ribosome-recycling factor
MENLLFMI_00034	CDS	780	pyrH	2.7.4.22	COG0528	Uridylate kinase
MENLLFMI_00035	CDS	831	tsf		COG0264	Elongation factor Ts
MENLLFMI_00036	CDS	963				hypothetical protein
MENLLFMI_00037	CDS	390	rpsI			30S ribosomal protein S9
MENLLFMI_00038	CDS	447	rplM		COG0102	50S ribosomal protein L13
MENLLFMI_00039	CDS	504				hypothetical protein
MENLLFMI_00040	CDS	198	rpmF			50S ribosomal protein L32
MENLLFMI_00041	CDS	1017	plsX	2.3.1.274	COG0416	Phosphate acyltransferase
MENLLFMI_00042	CDS	1005	fabH	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3
MENLLFMI_00043	CDS	939	fabD	2.3.1.39		Malonyl CoA-acyl carrier protein transacylase
MENLLFMI_00044	CDS	807				hypothetical protein
MENLLFMI_00045	CDS	750	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
MENLLFMI_00046	CDS	1437	crhR	3.6.4.13		RNA helicase CrhR
MENLLFMI_00047	CDS	222				hypothetical protein
MENLLFMI_00048	CDS	459				hypothetical protein
MENLLFMI_00049	CDS	570				hypothetical protein
MENLLFMI_00050	CDS	207				hypothetical protein
MENLLFMI_00051	CDS	1068		3.4.11.-		Aminopeptidase 2
MENLLFMI_00052	CDS	915				hypothetical protein
MENLLFMI_00053	CDS	555				hypothetical protein
MENLLFMI_00054	CDS	1197	xerC_1			Tyrosine recombinase XerC
MENLLFMI_00055	CDS	1281				hypothetical protein
MENLLFMI_00056	CDS	303				hypothetical protein
MENLLFMI_00057	CDS	2475	dnaG_1	2.7.7.-		DNA primase
MENLLFMI_00058	CDS	753				hypothetical protein
MENLLFMI_00059	CDS	243				hypothetical protein
MENLLFMI_00060	CDS	672	xerD_1		COG4974	Tyrosine recombinase XerD
MENLLFMI_00061	CDS	252				hypothetical protein
MENLLFMI_00062	CDS	90				hypothetical protein
MENLLFMI_00063	CDS	1632		2.1.1.72		Modification methylase Eco57IB
MENLLFMI_00064	CDS	1152				hypothetical protein
MENLLFMI_00065	tRNA	75				tRNA-Val(tac)
MENLLFMI_00066	tRNA	74				tRNA-Gly(ccc)
MENLLFMI_00067	CDS	165	rpmH		COG0230	50S ribosomal protein L34
MENLLFMI_00068	CDS	447				hypothetical protein
MENLLFMI_00069	CDS	1965	yidC			Membrane protein insertase YidC
MENLLFMI_00070	CDS	1386	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
MENLLFMI_00071	CDS	747				hypothetical protein
MENLLFMI_00072	CDS	633				hypothetical protein
MENLLFMI_00073	CDS	492				hypothetical protein
MENLLFMI_00074	CDS	480				hypothetical protein
MENLLFMI_00075	CDS	1995	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
MENLLFMI_00076	CDS	648	rsmG	2.1.1.170	COG0357	Ribosomal RNA small subunit methyltransferase G
MENLLFMI_00077	CDS	861			COG1073	putative protein
MENLLFMI_00078	CDS	3429	mfd	3.6.4.-		Transcription-repair-coupling factor
MENLLFMI_00079	CDS	357				hypothetical protein
MENLLFMI_00080	CDS	336				hypothetical protein
MENLLFMI_00081	CDS	360				hypothetical protein
MENLLFMI_00082	CDS	927	murQ	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
MENLLFMI_00083	CDS	2817				hypothetical protein
MENLLFMI_00084	CDS	579				hypothetical protein
MENLLFMI_00085	CDS	1239	recF		COG1195	DNA replication and repair protein RecF
MENLLFMI_00086	CDS	1536	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
MENLLFMI_00087	CDS	447	phaJ	4.2.1.119		(R)-specific enoyl-CoA hydratase
MENLLFMI_00088	CDS	2550				hypothetical protein
MENLLFMI_00089	CDS	786	xerD_2			Tyrosine recombinase XerD
MENLLFMI_00090	CDS	258				hypothetical protein
MENLLFMI_00091	CDS	927				hypothetical protein
MENLLFMI_00092	CDS	393				hypothetical protein
MENLLFMI_00093	CDS	339				hypothetical protein
MENLLFMI_00094	CDS	747				hypothetical protein
MENLLFMI_00095	CDS	246				hypothetical protein
MENLLFMI_00096	CDS	2046	glgP	2.4.1.1	COG0058	Glycogen phosphorylase
MENLLFMI_00097	CDS	2031	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
MENLLFMI_00098	CDS	945				hypothetical protein
MENLLFMI_00099	CDS	1434	rclA		COG1249	putative pyridine nucleotide-disulfide oxidoreductase RclA
MENLLFMI_00100	CDS	297	zwf_1	1.1.1.49		Glucose-6-phosphate 1-dehydrogenase
MENLLFMI_00101	CDS	1083	zwf_2	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
MENLLFMI_00102	CDS	912		1.1.1.343	COG1023	6-phosphogluconate dehydrogenase, NAD(+)-dependent, decarboxylating
MENLLFMI_00103	CDS	2763	tal_1	2.2.1.2		Transaldolase
MENLLFMI_00104	CDS	729				hypothetical protein
MENLLFMI_00105	CDS	633				hypothetical protein
MENLLFMI_00106	CDS	648	bm3R1			HTH-type transcriptional repressor Bm3R1
MENLLFMI_00107	CDS	2478				hypothetical protein
MENLLFMI_00108	CDS	1101	srpA			Solvent efflux pump periplasmic linker SrpA
MENLLFMI_00109	CDS	3051	swrC_1		COG0841	Swarming motility protein SwrC
MENLLFMI_00110	CDS	2139	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
MENLLFMI_00111	CDS	1956	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
MENLLFMI_00112	CDS	2304		1.18.1.2		Ferredoxin--NADP reductase
MENLLFMI_00113	CDS	138				hypothetical protein
MENLLFMI_00114	CDS	1395				hypothetical protein
MENLLFMI_00115	CDS	1170				hypothetical protein
MENLLFMI_00116	CDS	1143				hypothetical protein
MENLLFMI_00117	CDS	891				hypothetical protein
MENLLFMI_00118	CDS	2874	ppc	4.1.1.31	COG2352	Phosphoenolpyruvate carboxylase
MENLLFMI_00119	CDS	507				hypothetical protein
MENLLFMI_00120	CDS	3321	rcsC_3	2.7.13.3		Sensor histidine kinase RcsC
MENLLFMI_00121	CDS	2718	btuB_1			Vitamin B12 transporter BtuB
MENLLFMI_00122	CDS	1446				hypothetical protein
MENLLFMI_00123	CDS	1533				hypothetical protein
MENLLFMI_00124	CDS	402				hypothetical protein
MENLLFMI_00125	CDS	1131				hypothetical protein
MENLLFMI_00126	CDS	918				hypothetical protein
MENLLFMI_00127	CDS	609	lemA		COG1704	Protein LemA
MENLLFMI_00128	CDS	831				hypothetical protein
MENLLFMI_00129	CDS	330				hypothetical protein
MENLLFMI_00130	CDS	1074	rlpA_1	4.2.2.-		Endolytic peptidoglycan transglycosylase RlpA
MENLLFMI_00131	CDS	717				hypothetical protein
MENLLFMI_00132	CDS	831	htpX_1	3.4.24.-	COG0501	Protease HtpX 
MENLLFMI_00133	CDS	891				hypothetical protein
MENLLFMI_00134	CDS	279			COG1662	IS1 family transposase ISSru3
MENLLFMI_00135	CDS	315			COG1662	IS1 family transposase ISSru3
MENLLFMI_00136	CDS	579				hypothetical protein
MENLLFMI_00137	CDS	2451	cadA	3.6.3.3		Cadmium-transporting ATPase
MENLLFMI_00138	CDS	378	smtB		COG0640	Transcriptional repressor SmtB
MENLLFMI_00139	CDS	1620				hypothetical protein
MENLLFMI_00140	CDS	231				hypothetical protein
MENLLFMI_00141	CDS	2658				hypothetical protein
MENLLFMI_00142	CDS	264				hypothetical protein
MENLLFMI_00143	CDS	315				hypothetical protein
MENLLFMI_00144	CDS	1344	mmgC	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
MENLLFMI_00145	CDS	2595				hypothetical protein
MENLLFMI_00146	CDS	726				hypothetical protein
MENLLFMI_00147	CDS	651				hypothetical protein
MENLLFMI_00148	CDS	873				hypothetical protein
MENLLFMI_00149	CDS	570				hypothetical protein
MENLLFMI_00150	CDS	474				hypothetical protein
MENLLFMI_00151	CDS	216				hypothetical protein
MENLLFMI_00152	CDS	834				hypothetical protein
MENLLFMI_00153	CDS	507				hypothetical protein
MENLLFMI_00154	CDS	1176				hypothetical protein
MENLLFMI_00155	CDS	165				hypothetical protein
MENLLFMI_00156	CDS	1401		1.13.11.75		Apocarotenoid-15,15'-oxygenase
MENLLFMI_00157	CDS	717				hypothetical protein
MENLLFMI_00158	CDS	219				hypothetical protein
MENLLFMI_00159	CDS	1356	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
MENLLFMI_00160	CDS	801				hypothetical protein
MENLLFMI_00161	CDS	975	nrdB	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase subunit beta
MENLLFMI_00162	CDS	2799				hypothetical protein
MENLLFMI_00163	CDS	447				hypothetical protein
MENLLFMI_00164	CDS	1164	yycB		COG2807	putative transporter YycB
MENLLFMI_00165	CDS	1704				hypothetical protein
MENLLFMI_00166	CDS	522				hypothetical protein
MENLLFMI_00167	CDS	363	hmp_1	1.14.12.17		Flavohemoprotein
MENLLFMI_00168	CDS	588	hmp_2	1.14.15.30	COG1018	3-ketosteroid-9-alpha-monooxygenase, ferredoxin reductase component
MENLLFMI_00169	CDS	639				hypothetical protein
MENLLFMI_00170	CDS	471				hypothetical protein
MENLLFMI_00171	CDS	246				hypothetical protein
MENLLFMI_00172	CDS	816				hypothetical protein
MENLLFMI_00173	CDS	831				hypothetical protein
MENLLFMI_00174	CDS	204				hypothetical protein
MENLLFMI_00175	CDS	1593				hypothetical protein
MENLLFMI_00176	CDS	1005				hypothetical protein
MENLLFMI_00177	CDS	2175	sasA_3	2.7.-.-		Adaptive-response sensory-kinase SasA
MENLLFMI_00178	CDS	5007	rcsC_4	2.7.13.3		Sensor histidine kinase RcsC
MENLLFMI_00179	CDS	210				hypothetical protein
MENLLFMI_00180	CDS	1620				hypothetical protein
MENLLFMI_00181	CDS	879	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
MENLLFMI_00182	CDS	855				hypothetical protein
MENLLFMI_00183	CDS	696				hypothetical protein
MENLLFMI_00184	CDS	474				hypothetical protein
MENLLFMI_00185	CDS	963	mmuM	2.1.1.10	COG2040	Homocysteine S-methyltransferase
MENLLFMI_00186	CDS	390				hypothetical protein
MENLLFMI_00187	CDS	1326				hypothetical protein
MENLLFMI_00188	CDS	684				hypothetical protein
MENLLFMI_00189	CDS	639				hypothetical protein
MENLLFMI_00190	CDS	255				hypothetical protein
MENLLFMI_00191	CDS	993				hypothetical protein
MENLLFMI_00192	CDS	579	resA_1			Thiol-disulfide oxidoreductase ResA
MENLLFMI_00193	CDS	639				hypothetical protein
MENLLFMI_00194	CDS	1599				hypothetical protein
MENLLFMI_00195	CDS	1836				hypothetical protein
MENLLFMI_00196	CDS	318				hypothetical protein
MENLLFMI_00197	CDS	615				hypothetical protein
MENLLFMI_00198	CDS	210				hypothetical protein
MENLLFMI_00199	CDS	375				hypothetical protein
MENLLFMI_00200	CDS	582				hypothetical protein
MENLLFMI_00201	CDS	564				hypothetical protein
MENLLFMI_00202	CDS	912				hypothetical protein
MENLLFMI_00203	CDS	972				hypothetical protein
MENLLFMI_00204	CDS	2310	btuB_2			Vitamin B12 transporter BtuB
MENLLFMI_00205	CDS	1032				hypothetical protein
MENLLFMI_00206	CDS	1953	rcsC_5	2.7.13.3		Sensor histidine kinase RcsC
MENLLFMI_00207	CDS	651				hypothetical protein
MENLLFMI_00208	CDS	138				hypothetical protein
MENLLFMI_00209	CDS	897	yxlF_1	3.6.3.-	COG1131	putative ABC transporter ATP-binding protein YxlF
MENLLFMI_00210	CDS	3831				hypothetical protein
MENLLFMI_00211	CDS	2850				hypothetical protein
MENLLFMI_00212	CDS	1122				hypothetical protein
MENLLFMI_00213	CDS	585	algU_1		COG1595	RNA polymerase sigma-H factor
MENLLFMI_00214	CDS	2040	apc3	6.4.1.8	COG0145	Acetophenone carboxylase gamma subunit
MENLLFMI_00215	CDS	489				hypothetical protein
MENLLFMI_00216	CDS	297				hypothetical protein
MENLLFMI_00217	CDS	177				hypothetical protein
MENLLFMI_00218	CDS	240				hypothetical protein
MENLLFMI_00219	CDS	219				hypothetical protein
MENLLFMI_00220	CDS	345				hypothetical protein
MENLLFMI_00221	CDS	177				hypothetical protein
MENLLFMI_00222	CDS	240				hypothetical protein
MENLLFMI_00223	CDS	471				hypothetical protein
MENLLFMI_00224	CDS	483				IS630 family transposase ISMae27
MENLLFMI_00225	CDS	171				hypothetical protein
MENLLFMI_00226	CDS	768			COG3039	IS5 family transposase ISMac15
MENLLFMI_00227	CDS	171				hypothetical protein
MENLLFMI_00228	CDS	624				hypothetical protein
MENLLFMI_00229	CDS	267				hypothetical protein
MENLLFMI_00230	CDS	360				hypothetical protein
MENLLFMI_00231	CDS	429				hypothetical protein
MENLLFMI_00232	CDS	720				hypothetical protein
MENLLFMI_00233	CDS	702				hypothetical protein
MENLLFMI_00234	CDS	111				hypothetical protein
MENLLFMI_00235	CDS	561				hypothetical protein
MENLLFMI_00236	CDS	1236				hypothetical protein
