locus_tag	ftype	length_bp	gene	EC_number	COG	product
HOOJEANF_00001	CDS	1575	dnaA_1			Chromosomal replication initiator protein DnaA
HOOJEANF_00002	CDS	1134	dnaN			Beta sliding clamp
HOOJEANF_00003	CDS	996				hypothetical protein
HOOJEANF_00004	CDS	636				hypothetical protein
HOOJEANF_00005	CDS	927				hypothetical protein
HOOJEANF_00006	CDS	924				hypothetical protein
HOOJEANF_00007	CDS	675	rpe	5.1.3.1		Ribulose-phosphate 3-epimerase
HOOJEANF_00008	CDS	279	csoR		COG1937	Copper-sensing transcriptional repressor CsoR
HOOJEANF_00009	CDS	624				hypothetical protein
HOOJEANF_00010	CDS	1053				hypothetical protein
HOOJEANF_00011	CDS	336	yajC		COG1862	Sec translocon accessory complex subunit YajC
HOOJEANF_00012	CDS	1248	ribBA_1		COG0108	Riboflavin biosynthesis protein RibBA
HOOJEANF_00013	CDS	165				hypothetical protein
HOOJEANF_00014	CDS	2463				hypothetical protein
HOOJEANF_00015	CDS	483	nusB		COG0781	Transcription antitermination protein NusB
HOOJEANF_00016	CDS	663	pphA	3.1.3.16	COG0639	Serine/threonine-protein phosphatase 1
HOOJEANF_00017	CDS	1095	ychF		COG0012	Ribosome-binding ATPase YchF
HOOJEANF_00018	CDS	852				hypothetical protein
HOOJEANF_00019	CDS	1260	lolC_1		COG4591	Lipoprotein-releasing system transmembrane protein LolC
HOOJEANF_00020	CDS	822	yitD	4.4.1.19	COG1809	Phosphosulfolactate synthase
HOOJEANF_00021	CDS	237	rpmB		COG0227	50S ribosomal protein L28
HOOJEANF_00022	CDS	165	rpmG		COG0267	50S ribosomal protein L33
HOOJEANF_00023	CDS	150				hypothetical protein
HOOJEANF_00024	tRNA	75				tRNA-Pro(tgg)
HOOJEANF_00025	tRNA	73				tRNA-Cys(gca)
HOOJEANF_00026	CDS	2625				hypothetical protein
HOOJEANF_00027	CDS	864				hypothetical protein
HOOJEANF_00028	CDS	1242	undec1A	4.1.1.-		Cysteine/Cysteine sulfinic acid decarboxylase
HOOJEANF_00029	CDS	294				hypothetical protein
HOOJEANF_00030	CDS	567	gmk	2.7.4.8	COG0194	Guanylate kinase
HOOJEANF_00031	CDS	885				hypothetical protein
HOOJEANF_00032	tRNA	91				tRNA-Ser(gga)
HOOJEANF_00033	CDS	570	frr		COG0233	Ribosome-recycling factor
HOOJEANF_00034	CDS	780	pyrH	2.7.4.22	COG0528	Uridylate kinase
HOOJEANF_00035	CDS	831	tsf		COG0264	Elongation factor Ts
HOOJEANF_00036	CDS	963				hypothetical protein
HOOJEANF_00037	CDS	390	rpsI			30S ribosomal protein S9
HOOJEANF_00038	CDS	447	rplM		COG0102	50S ribosomal protein L13
HOOJEANF_00039	CDS	504				hypothetical protein
HOOJEANF_00040	CDS	198	rpmF			50S ribosomal protein L32
HOOJEANF_00041	CDS	1017	plsX	2.3.1.274	COG0416	Phosphate acyltransferase
HOOJEANF_00042	CDS	1005	fabH	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3
HOOJEANF_00043	CDS	939	fabD	2.3.1.39		Malonyl CoA-acyl carrier protein transacylase
HOOJEANF_00044	CDS	807				hypothetical protein
HOOJEANF_00045	CDS	750	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
HOOJEANF_00046	CDS	1437	crhR	3.6.4.13		RNA helicase CrhR
HOOJEANF_00047	CDS	222				hypothetical protein
HOOJEANF_00048	CDS	459				hypothetical protein
HOOJEANF_00049	CDS	570				hypothetical protein
HOOJEANF_00050	CDS	207				hypothetical protein
HOOJEANF_00051	CDS	1068		3.4.11.-		Aminopeptidase 2
HOOJEANF_00052	CDS	915				hypothetical protein
HOOJEANF_00053	CDS	555				hypothetical protein
HOOJEANF_00054	tRNA	75				tRNA-Val(tac)
HOOJEANF_00055	tRNA	74				tRNA-Gly(ccc)
HOOJEANF_00056	CDS	165	rpmH		COG0230	50S ribosomal protein L34
HOOJEANF_00057	CDS	447				hypothetical protein
HOOJEANF_00058	CDS	1965	yidC			Membrane protein insertase YidC
HOOJEANF_00059	CDS	1386	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
HOOJEANF_00060	CDS	747				hypothetical protein
HOOJEANF_00061	CDS	633				hypothetical protein
HOOJEANF_00062	CDS	492				hypothetical protein
HOOJEANF_00063	CDS	480				hypothetical protein
HOOJEANF_00064	CDS	1995	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
HOOJEANF_00065	CDS	648	rsmG	2.1.1.170	COG0357	Ribosomal RNA small subunit methyltransferase G
HOOJEANF_00066	CDS	861			COG1073	putative protein
HOOJEANF_00067	CDS	3429	mfd	3.6.4.-		Transcription-repair-coupling factor
HOOJEANF_00068	CDS	357				hypothetical protein
HOOJEANF_00069	CDS	336				hypothetical protein
HOOJEANF_00070	CDS	360				hypothetical protein
HOOJEANF_00071	CDS	927	murQ	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
HOOJEANF_00072	CDS	2817				hypothetical protein
HOOJEANF_00073	CDS	579				hypothetical protein
