locus_tag	ftype	length_bp	gene	EC_number	COG	product
HPHGLPOA_00001	CDS	726				hypothetical protein
HPHGLPOA_00002	CDS	855				hypothetical protein
HPHGLPOA_00003	CDS	588				hypothetical protein
HPHGLPOA_00004	CDS	861				hypothetical protein
HPHGLPOA_00005	CDS	960				hypothetical protein
HPHGLPOA_00006	CDS	3411				hypothetical protein
HPHGLPOA_00007	CDS	1764				hypothetical protein
HPHGLPOA_00008	CDS	207				hypothetical protein
HPHGLPOA_00009	CDS	309				hypothetical protein
HPHGLPOA_00010	CDS	144				hypothetical protein
HPHGLPOA_00011	CDS	183				hypothetical protein
HPHGLPOA_00012	CDS	1548				hypothetical protein
HPHGLPOA_00013	CDS	231				hypothetical protein
HPHGLPOA_00014	CDS	1899				hypothetical protein
HPHGLPOA_00015	CDS	969				hypothetical protein
HPHGLPOA_00016	CDS	765				hypothetical protein
HPHGLPOA_00017	CDS	1095				hypothetical protein
HPHGLPOA_00018	CDS	576	xerC_1		COG4973	Tyrosine recombinase XerC
HPHGLPOA_00019	CDS	546				hypothetical protein
HPHGLPOA_00020	CDS	360				hypothetical protein
HPHGLPOA_00021	CDS	264				hypothetical protein
HPHGLPOA_00022	CDS	198				hypothetical protein
HPHGLPOA_00023	CDS	228				hypothetical protein
HPHGLPOA_00024	CDS	1950				hypothetical protein
HPHGLPOA_00025	CDS	576				hypothetical protein
HPHGLPOA_00026	CDS	561				hypothetical protein
HPHGLPOA_00027	CDS	1350				hypothetical protein
HPHGLPOA_00028	CDS	681				hypothetical protein
HPHGLPOA_00029	CDS	267				hypothetical protein
HPHGLPOA_00030	CDS	1185	dinB	2.7.7.7	COG0389	DNA polymerase IV
HPHGLPOA_00031	CDS	486				hypothetical protein
HPHGLPOA_00032	CDS	927				hypothetical protein
HPHGLPOA_00033	CDS	315				hypothetical protein
HPHGLPOA_00034	CDS	537				hypothetical protein
HPHGLPOA_00035	CDS	273				hypothetical protein
HPHGLPOA_00036	CDS	387				hypothetical protein
HPHGLPOA_00037	CDS	249				hypothetical protein
HPHGLPOA_00038	CDS	648				hypothetical protein
HPHGLPOA_00039	CDS	288				hypothetical protein
HPHGLPOA_00040	CDS	2292				hypothetical protein
HPHGLPOA_00041	CDS	459				hypothetical protein
HPHGLPOA_00042	CDS	1170				hypothetical protein
HPHGLPOA_00043	CDS	480				hypothetical protein
HPHGLPOA_00044	CDS	333				hypothetical protein
HPHGLPOA_00045	CDS	495				hypothetical protein
HPHGLPOA_00046	CDS	285				hypothetical protein
HPHGLPOA_00047	CDS	213				hypothetical protein
HPHGLPOA_00048	CDS	768				hypothetical protein
HPHGLPOA_00049	CDS	867				hypothetical protein
HPHGLPOA_00050	CDS	2901				hypothetical protein
HPHGLPOA_00051	CDS	651				hypothetical protein
HPHGLPOA_00052	CDS	1233				hypothetical protein
HPHGLPOA_00053	CDS	1752				hypothetical protein
HPHGLPOA_00054	CDS	999				hypothetical protein
HPHGLPOA_00055	CDS	4521	rapA	3.6.4.-		RNA polymerase-associated protein RapA
HPHGLPOA_00056	CDS	813				hypothetical protein
HPHGLPOA_00057	CDS	3084				hypothetical protein
HPHGLPOA_00058	CDS	714	xerC_2			Tyrosine recombinase XerC
HPHGLPOA_00059	CDS	210				hypothetical protein
