locus_tag	ftype	length_bp	gene	EC_number	COG	product
LDJHEKMD_00001	CDS	246				hypothetical protein
LDJHEKMD_00002	CDS	216				hypothetical protein
LDJHEKMD_00003	CDS	603				hypothetical protein
LDJHEKMD_00004	CDS	186				hypothetical protein
LDJHEKMD_00005	CDS	324				hypothetical protein
LDJHEKMD_00006	CDS	2322				hypothetical protein
LDJHEKMD_00007	CDS	276				hypothetical protein
LDJHEKMD_00008	CDS	306				hypothetical protein
LDJHEKMD_00009	CDS	162				hypothetical protein
LDJHEKMD_00010	CDS	483				hypothetical protein
LDJHEKMD_00011	CDS	801				hypothetical protein
LDJHEKMD_00012	CDS	630				hypothetical protein
LDJHEKMD_00013	CDS	162				hypothetical protein
LDJHEKMD_00014	CDS	279				hypothetical protein
LDJHEKMD_00015	CDS	711				hypothetical protein
LDJHEKMD_00016	CDS	315				hypothetical protein
LDJHEKMD_00017	CDS	1827				hypothetical protein
LDJHEKMD_00018	CDS	405				hypothetical protein
LDJHEKMD_00019	CDS	519				hypothetical protein
LDJHEKMD_00020	CDS	285				hypothetical protein
LDJHEKMD_00021	CDS	657				hypothetical protein
LDJHEKMD_00022	CDS	519				hypothetical protein
LDJHEKMD_00023	CDS	246				hypothetical protein
